roi_id,s2_id_gee,class,HI,TI
ROI_0002,20190116T142751_20190116T143701_T19GDN,cloudy,0.005971359554678,0.873986427454798
ROI_0002,20190602T142041_20190602T142839_T19GDN,cloud-free,0.073564104735851,1
ROI_0002,20200217T141651_20200217T142551_T19GDN,low-cloudy,0.071937158703804,0.927745251449429
ROI_0002,20200410T142731_20200410T143742_T19GDN,mid-cloudy,0.921814203262329,0.321311941397849
ROI_0002,20200422T141729_20200422T142243_T19GDN,almost-clear,0.989776968955994,0.379498352036908
ROI_0004,20190208T143751_20190208T144455_T19KDR,cloudy,0.9168461561203,0.392922245937701
ROI_0004,20190218T143751_20190218T144454_T19KDR,almost-clear,0.096207290887833,0.938157345548769
ROI_0004,20190414T143759_20190414T144503_T19KER,cloud-free,0.149318993091583,1
ROI_0004,20190906T143751_20190906T144705_T19KER,low-cloudy,0.209778934717178,0.81779690514962
ROI_0004,20200717T143729_20200717T144647_T19KDR,mid-cloudy,0.988706946372986,0.732196641280516
ROI_0005,20190122T153619_20190122T153619_T17MNP,cloudy,0.959805965423584,0.627522570797769
ROI_0005,20190502T153629_20190502T153626_T17MNP,almost-clear,0.069129481911659,0.911029928349126
ROI_0005,20191213T153611_20191213T153748_T17MNP,low-cloudy,0.99918133020401,0.733285627657674
ROI_0005,20200610T153631_20200610T154258_T17MNP,cloud-free,0.050959575921297,1
ROI_0005,20200625T153619_20200625T153621_T17MNP,mid-cloudy,0.219010189175606,0.880483912593321
ROI_0006,20190103T150719_20190103T151036_T18LVJ,mid-cloudy,0.050213612616062,0.803342652311385
ROI_0006,20190103T150719_20190103T151036_T18LWJ,low-cloudy,0.050516560673714,0.790145073021846
ROI_0006,20190806T150721_20190806T150843_T18LWJ,almost-clear,0.072640635073185,0.903270648134876
ROI_0006,20190831T150729_20190831T151107_T18LWJ,cloud-free,0.04280723631382,1
ROI_0006,20191030T150719_20191030T150721_T18LWJ,cloudy,0.977280557155609,0.74486723967214
ROI_0007,20190202T181559_20190202T182031_T11SQR,low-cloudy,0.159260615706444,0.860324486933617
ROI_0007,20190831T180919_20190831T181408_T11SQR,cloud-free,0.064565435051918,1
ROI_0007,20190905T180921_20190905T182114_T11SQR,almost-clear,0.248019307851791,0.615815912707822
ROI_0007,20200227T181309_20200227T182313_T11SQR,mid-cloudy,0.799830496311188,0.361692426220239
ROI_0007,20200318T180949_20200318T181654_T11SQR,cloudy,0.224213495850563,0.856120790513988
ROI_0012,20180116T091319_20180116T091445_T34RFV,almost-clear,0.734436273574829,0.596413205558601
ROI_0012,20180302T090901_20180302T092002_T34RFV,cloudy,0.995315432548523,0.191803107082447
ROI_0012,20180829T090551_20180829T091949_T34RFV,low-cloudy,0.14734098315239,0.955134003248457
ROI_0012,20181112T091219_20181112T092057_T34RFV,mid-cloudy,0.431197613477707,0.611248840812479
ROI_0012,20191217T091309_20191217T092124_T34RFV,cloud-free,0.021174248307943,1
ROI_0013,20190504T101031_20190504T101433_T32SLC,cloudy,0.323076099157333,0.894743058423073
ROI_0013,20190509T101039_20190509T102007_T32SLC,cloud-free,0.108853198587894,1
ROI_0013,20190514T101031_20190514T101441_T32SLC,almost-clear,0.205052852630615,0.918255261426841
ROI_0013,20191110T101241_20191110T101945_T32SLC,low-cloudy,0.96210390329361,0.548970213381959
ROI_0013,20191230T101421_20191230T101423_T32SLC,mid-cloudy,0.309611737728119,0.688436349773162
ROI_0014,20190601T074611_20190601T075707_T37PCT,cloud-free,0.049214527010918,1
ROI_0014,20190731T074621_20190731T080415_T37QCU,cloudy,0.016499344259501,0.893918114568557
ROI_0014,20190815T074619_20190815T075858_T37QCU,almost-clear,0.579113483428955,0.666985162649906
ROI_0014,20191213T075229_20191213T075529_T37QCU,low-cloudy,0.22519713640213,0.650756580624439
ROI_0014,20200725T074621_20200725T075714_T37PCT,mid-cloudy,0.211948066949844,0.67808522492033
ROI_0016,20180218T083011_20180218T083855_T36RUT,low-cloudy,0.152268722653389,0.913207135738496
ROI_0016,20181115T083211_20181115T083248_T36RUT,mid-cloudy,0.131272554397583,0.685329851853984
ROI_0016,20181125T083251_20181125T083250_T36RUT,almost-clear,0.068693615496159,0.925382110831085
ROI_0016,20191120T083241_20191120T083254_T36RUT,cloud-free,0.033899016678333,1
ROI_0016,20200309T082751_20200309T084046_T36RUT,cloudy,0.849214434623718,0.667089589762013
ROI_0017,20190408T071619_20190408T072924_T38PQB,cloud-free,0.008414489217103,1
ROI_0017,20190818T070621_20190818T071945_T38PQB,mid-cloudy,0.677554428577423,0.65074042455308
ROI_0017,20190831T071621_20190831T073224_T38PQB,low-cloudy,0.009444646537304,0.97263411855189
ROI_0017,20190927T070641_20190927T072119_T38PQB,cloudy,0.057833395898342,0.946514404840958
ROI_0017,20200325T070621_20200325T071543_T38PQB,almost-clear,0.030015040189028,0.914340467189418
ROI_0018,20181215T065251_20181215T065254_T40QCG,cloud-free,0.11197929084301,0.33319577754682
ROI_0018,20190119T065209_20190119T070240_T40QCG,low-cloudy,0.1677236109972,0.657433310513082
ROI_0018,20190908T063631_20190908T064747_T40QCG,cloudy,0.458228021860123,0.623523573854879
ROI_0018,20190916T064629_20190916T065901_T40QCG,mid-cloudy,0.114782497286797,0.896466048919022
ROI_0018,20191222T064259_20191222T064945_T40QCG,almost-clear,0.036621551960707,0.890217978448469
ROI_0019,20190220T072939_20190220T074111_T38RPR,cloud-free,0.079462438821793,1
ROI_0019,20191018T072909_20191018T073856_T38RPS,cloudy,0.980173826217651,0.492052578173325
ROI_0019,20191112T073141_20191112T073144_T38RPS,low-cloudy,0.669166743755341,0.611990562566167
ROI_0019,20200316T072639_20200316T073813_T38RPS,almost-clear,0.120340682566166,0.955699290865357
ROI_0019,20200415T072609_20200415T073422_T38RPR,mid-cloudy,0.115003556013107,0.839603353913509
ROI_0020,20180102T075319_20180102T075640_T38SKE,low-cloudy,0.172958865761757,0.67235472460597
ROI_0020,20180219T075951_20180219T075949_T38SKE,cloudy,0.051692675799131,0.715908165770442
ROI_0020,20190313T074711_20190313T075536_T38SKE,cloud-free,0.019006880000234,1
ROI_0020,20200219T075951_20200219T080811_T38SKD,mid-cloudy,0.968253135681152,0.723629402293239
ROI_0020,20200419T075611_20200419T080344_T38SKD,almost-clear,0.830707430839539,0.358031925056761
ROI_0021,20181030T081041_20181030T082011_T37SDU,cloud-free,0.028787391260266,1
ROI_0021,20190324T080609_20190324T081236_T37SDU,cloudy,0.936482429504395,0.739766347126029
ROI_0021,20190329T080611_20190329T081207_T37SDU,mid-cloudy,0.962006390094757,0.701681921743831
ROI_0021,20190423T080619_20190423T081724_T37SDU,low-cloudy,0.064585514366627,0.937004539744446
ROI_0021,20191109T081049_20191109T081833_T37SDU,almost-clear,0.93951416015625,0.560128150498121
ROI_0023,20191029T070009_20191029T070052_T40RBT,mid-cloudy,0.356644093990326,0.696907504655293
ROI_0023,20191123T070211_20191123T070212_T40RBT,low-cloudy,0.90810763835907,0.561209332821021
ROI_0023,20200327T065619_20200327T065928_T40RBT,almost-clear,0.022355925291777,0.93014749358687
ROI_0023,20200720T065631_20200720T070944_T40RBT,cloud-free,0.058101620525122,1
ROI_0023,20200725T065629_20200725T070120_T40RBT,cloudy,0.574203968048096,0.588670829434747
ROI_0024,20190412T065629_20190412T070829_T40RBR,low-cloudy,0.143641650676727,0.477564144842182
ROI_0024,20190706T065631_20190706T070836_T40RBR,cloudy,0.737750113010407,0.671880603236492
ROI_0024,20190731T065629_20190731T070911_T40RBR,cloud-free,0.029298497363925,1
ROI_0024,20200102T070301_20200102T070259_T40RBR,almost-clear,0.768788635730743,0.594568109901898
ROI_0024,20200526T065629_20200526T071049_T40RBR,mid-cloudy,0.654329001903534,0.626956935726794
ROI_0025,20181223T061241_20181223T061242_T42SVA,cloud-free,0.038188178092241,0.499953825112423
ROI_0025,20190402T060631_20190402T061609_T42SVA,cloudy,0.981873512268066,0.401789606766065
ROI_0025,20191128T061211_20191128T061208_T42SVA,mid-cloudy,0.134422585368156,0.903495274469327
ROI_0025,20191223T061249_20191223T061748_T42SVA,low-cloudy,0.92957466840744,0.592217118457648
ROI_0025,20200401T060629_20200401T061436_T42SVA,almost-clear,0.028906229883432,0.92858915054179
